voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
1,"Yes, I have a valid and up-to-date PRC license for librarians",NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Yes, I have a valid and up-to-date PRC license for librarians","No, I am in the Philippines right now but only for vacation",Prefer not to say,100,"No, I am a retiree.",information technology,60,private (BPO),"self-employed, freelancing or working with multiple institutions",100,100,night differential pay,NA,NA,NA,NA,123,123,Hello Philippines and hello world,NA,law materials and resources,NA,NA,NA,NA,NA,NA,Huehs,NA,NA,NA,supervisory / mid-management level,No (planning to shift to other fields or industry),Hfeudnr,Doctor of Philosophy (Ph.D),Yes,Post-graduate Certificate or Diploma (non-LIS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,40,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),14,government,permanent,51,30,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,"Rice allowance
Clothing allowance
rata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grading sheets
Exam papers",NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (non-MLIS),Yes,Doctor of Philosophy (Ph.D),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",CPD program sources that I really like,NA,NA,"Ethics
Communication skills
Cooking
Knitting",NA,NA,NA,NA,NCR,Yes,No,Ilocano,None,Slis,"Cleaner
Cook",Head,NA,"Plai
Codhlis
Patls",Friends
4,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,46,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),23,government,permanent,53,38,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,N/a,NA,NA,NA,archives (physical),hardcopy theses and dissertations,hardcopy books / pamphlets / etc,institutional files and records,data sets,"electronic material (digital titles, digital archives, etc)",NA,Book cleaner,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),Yes,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)",from the work place (private sponsorship),"Yes, the amount of trainings I received within the last two (2) years is enough.",Foreign conferences have high cost and points disproportionate to local cost and points. X10 usually cost pero points ata e x2 or x3 lang,NA,NA,Software used for research,NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Library school,NA,Asst prof 5,Education,"Plai, patls, sfa",Similar thrusts
5,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,32,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),10,government,contractual,40,30,monetary allowances,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (non-MLIS),No.,Doctor of Philosophy (Ph.D),Yes,Doctor of Philosophy (Ph.D),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,Maybe,Time,NA,NA,Data Science,NA,NA,NA,NA,NCR,Yes,Yes,Others,Chinese,NA,Faculty,Asst. Prof.,"Research, Extention, Teaching",PATLS,colleagues
6,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,46,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),24,government,permanent,56,42,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,institutional files and records,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",archives (physical),data sets,NA,Tech,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),Yes,Short | Certificate | Diploma Program,government facilitated trainings and symposiums,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)","Yes, the amount of trainings I received within the last two (2) years is enough.",Foreign conferences have high cost and low points dispproportionate to local offerings. Foreign conferences (and publications) usually cost x10 but the points are probably just x2 or x3,NA,NA,Software used in research,NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Library school,Asst prof,Asst Prof 5,"Education, research and training","Plai, patls, sfa",Similar thrusts
7,"No, I have not renewed my license","Yes, I am currently residing and staying in the Philippines",Woman,48,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),23,government,permanent,36,29,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",law materials and resources,archives (physical),institutional files and records,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),"from the government (scholarships, free trainings and seminars, etc)",NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,Digital archiving,NA,NA,NA,NA,NCR,No,No,Kapampangan,NA,NA,University instructor archivist,Assistant professor,None,NA,"Relevance, network"
8,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,44,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),12,government,permanent,38,26,monetary allowances,NA,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",data sets,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (non-MLIS),No.,NA,Yes,Doctor of Philosophy (Ph.D),government facilitated trainings and symposiums,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)",NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,English,NA,Educator,Faculty,NA,PATLS,Type of organisation
9,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",LGBTQ+,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,government,permanent,19,NA,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,"Database
Library System in-house",NA,NA,NA,NA,Region IV,No,Yes,NA,NA,School library,"Technical Assistant
Data Manager",NA,Administration,RLA,NA
10,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,24,"Yes, I am currently employed by an institution, agency, individual or similar.",archives and/or records management,1,private (in-house),permanent,11,10,paid vacation and/or sick leaves,NA,NA,NA,NA,"Clothing allowance &
meal allowance",NA,NA,NA,hardcopy books / pamphlets / etc,institutional files and records,data sets,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,Region III,No,Yes,Pangasinense,NA,NA,School Registrar and Computer Teacher,Librarian-School Registrar,Administration,PLAI,NA
11,"Yes, I have a valid and up-to-date PRC license for librarians","No, I am currently residing outside the Philippines",LGBTQ+,34,"Yes, I am currently employed by an institution, agency, individual or similar.",library,12,government,contractual,95,95,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,Attendance to conferences,NA,NA,NA,institutional files and records,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,Already mentioned,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Maybe,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,"Statistical software, analysis of data",NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Academic,NA,Reference Librarian,Reference,"PLAI, PAARL, ASLP, MAHLAP, SLA",Networking
12,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,39,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,government,permanent,58,36,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,"Institutional support when attending conferences, incentives when presenting papers and researches",NA,NA,NA,institutional files and records,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",archives (physical),NA,NA,"Memorabilia, artworks,",NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),No.,NA,Yes,Doctor of Philosophy (Ph.D),within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),"from the government (scholarships, free trainings and seminars, etc)","Yes, the amount of trainings I received within the last two (2) years is enough.",None. I am one of the fortunate ones.,NA,NA,"Digital humanities and preservation
Project Management 
Advocacy training",NA,NA,NA,NA,NCR,No,Yes,Ilocano,Spanish,University Archives,Archivist/Lecturer,Head Librarian working with other librarians and non-library staff,Administration/Management,"plai
Paarl
Sfa
Aasdi
Kbp","Fellowship
CPD opportunity 
Contribution to profession"
13,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,39,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),14,private (in-house),permanent,35,29,paid vacation and/or sick leaves,monetary allowances,health card and/or insurance other than PhilHealth,NA,NA,Tuituon subsidy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,22,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,18,15,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",institutional files and records,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,archives (physical),NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),Business,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",The fee and schedule of seminar,NA,NA,IT,Archiving,Trends/Effective reference service,Enhancing soft skills for librarians,NA,NCR,No,Yes,NA,NA,School/academic library - Technical Section,"Assists in events, i've become a pro in table skirting because the management always ask our supervisor to decorate the tables whenever we have an event in the school. I don't know where she got that idea.",Mid level librarian,Acquisition/Collection Development,PLAI,Benefits
15,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,39,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,private (in-house),permanent,25,16,paid vacation and/or sick leaves,NA,NA,NA,NA,PERAA,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,NA,Master's degree (MLIS),No.,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,23,"Yes, I am currently employed by an institution, agency, individual or similar.",information technology,1,private (BPO),permanent,25,20,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,NA,NA,NA,data sets,NA,NA,NA,NA,NA,NA,n/a,NA,NA,NA,entry level / junior staff,Maybe / Undecided,"if there is no growth, might as well change career path",Bachelor's degree (BLIS),No.,NA,Maybe,Post-graduate Certificate or Diploma (non-LIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),time and money,NA,NA,data in the new IT,NA,NA,NA,NA,NCR,No,Yes,NA,NA,n/a,n/a,business operations associate in accenture,n/a,n/a,n/a
